[Message:   BepInEx] BepInEx 5.4.21.0 - EvolutionOfJiangHu (15/02/2023 00:02:54)
[Info   :   BepInEx] Running under Unity v2020.3.23.6784271
[Info   :   BepInEx] CLR runtime version: 4.0.30319.17020
[Info   :   BepInEx] Supports SRE: False
[Info   :   BepInEx] System platform: Bits64, Windows
[Message:   BepInEx] Preloader started
[Info   :   BepInEx] Loaded 1 patcher method from [BepInEx.Preloader 5.4.21.0]
[Info   :   BepInEx] Loaded 1 patcher method from [Preloader 1.0.0.0]
[Info   :   BepInEx] 2 patcher plugins loaded
[Info   :   BepInEx] Patching [UnityEngine.CoreModule] with [BepInEx.Chainloader]
[Info   :   BepInEx] Patching [Assembly-CSharp] with [Preloader.Patcher]
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 凶
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 勾
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 焚
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 庄
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 严
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 墨
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 羽
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 琼
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 翠
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 虹
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 离
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 乾
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 方
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 炎
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 狼
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 爪
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 金
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 翼
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 九
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 阳
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 残
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 图
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 豹
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 渡
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 生
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 狂
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 儒
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 风
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 太
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 阴
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 冥
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 世
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 灵
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 蛇
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 破
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 元
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 雷
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 断
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 岳
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 紫
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 达
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 胎
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 水
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 大
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 妖
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 冷
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 烈
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 云
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 血
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 白
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 涛
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 黑
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 鸦
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 惊
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 情
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 双
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 两
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 仪
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 一
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 心
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 印
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 辟
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 邪
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 光
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 天
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 日
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 封
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 照
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 凤
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 缘
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 万
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 绝
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 旋
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 苍
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 碧
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 煞
[Info   :   Console] Found a duplicated line while parsing DLLKV.txt: 狮
